split,target_accuracy,config_id,divisor_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,eligible
96,0.3,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3597560975609756,0.3411239347424964,0.325,15668.740853658537,0.325,18237.34934232897,True
96,0.3,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3673780487804878,0.34766071843898305,0.33392857142857146,19242.135670731706,0.33392857142857146,22513.844782963257,True
96,0.3,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.37652439024390244,0.35384696968428553,0.34226190476190477,23367.951219512193,0.34226190476190477,27287.322738159797,True
96,0.3,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.38414634146341464,0.35811342725646506,0.34821428571428575,29009.942073170732,0.34821428571428575,33279.738064009434,True
96,0.3,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3902439024390244,0.3633955229565869,0.3511904761904762,35406.27286585366,0.3511904761904762,40188.76546613821,True
96,0.3,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.39939024390243905,0.3688175198259073,0.35833333333333334,43252.36280487805,0.35833333333333334,48822.3707817683,True
96,0.3,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.40396341463414637,0.3730406748051247,0.3648809523809524,51478.14786585366,0.3648809523809524,57704.114467536565,True
96,0.3,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.40853658536585363,0.3755599943881989,0.37083333333333335,58308.954268292684,0.37083333333333335,64030.96806554271,True
96,0.3,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.4192073170731707,0.3840439592038045,0.3726190476190476,69733.0,0.3726190476190476,75796.65015322973,True
96,0.35,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2850609756097561,0.27455842821313203,0.2619047619047619,2712.2591463414633,0.2619047619047619,2892.9258127298463,False
96,0.35,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2972560975609756,0.28388462344690896,0.2702380952380953,3191.184451219512,0.2702380952380953,3488.261204502811,False
96,0.35,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.2921403796883317,0.28154761904761905,3770.8475609756097,0.28154761904761905,4198.70066547771,False
96,0.35,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3003048780487805,0.2986353405861311,0.28809523809523807,4463.894817073171,0.28809523809523807,5076.893788641759,False
96,0.35,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31097560975609756,0.3094024628598164,0.2988095238095238,5325.949695121952,0.2988095238095238,6175.559636136172,False
96,0.35,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.32164634146341464,0.3147132795569473,0.30773809523809526,6381.428353658536,0.30773809523809526,7434.221686361343,False
96,0.35,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3246951219512195,0.3210200964187107,0.3095238095238095,7658.580792682927,0.3095238095238095,8989.34939618774,False
96,0.35,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3323170731707317,0.3261936870772773,0.3119047619047619,9204.080792682927,0.3119047619047619,10824.830909938366,False
96,0.35,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.34146341463414637,0.3305710624170348,0.31309523809523815,11298.452743902439,0.31309523809523815,13207.564554625482,False
96,0.35,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35365853658536583,0.338271972976026,0.31845238095238093,13836.33993902439,0.31845238095238093,15931.09138621613,False
96,0.35,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3597560975609756,0.3411239347424964,0.325,15668.740853658537,0.325,18237.34934232897,False
96,0.35,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3673780487804878,0.34766071843898305,0.33392857142857146,19242.135670731706,0.33392857142857146,22513.844782963257,False
96,0.35,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.37652439024390244,0.35384696968428553,0.34226190476190477,23367.951219512193,0.34226190476190477,27287.322738159797,False
